area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
,,"Atos Inmobiliaria te ofrece la oportunidad de arrendar o comprar una isla comercial en el centro comercial Florida Shopping. Este espacio cuenta con 10 m2 y se ubica en el primer piso, brindándote una ubicación privilegiada para impulsar tu negocio. Esta es tu ocasión para establecer tu emprendimiento en un entorno moderno y dinámico. ¡No pierdas esta oportunidad única! Contáctanos para obtener más información y asegurar el éxito de tu negocio.",,,1 habitación,$ 1.800.000,Local comercial,Arriendo,LOCAL en ARRIENDO/VENTA en Tunja CENTRO COMERCIAL FLORIDA SHOPPING,"Boyacá, Tunja, Tunja"
,Aparcadero,"Exclusivo Apartamento Amoblado Frente a UnicentroAtos Inmobiliaria te presenta una exclusiva oportunidad de arriendo en el tranquilo sector de Villas de Aranjuez, justo frente al Centro Comercial Unicentro. Este apartamento, completamente amoblado, ofrece un ambiente acogedor y funcional.El apartamento cuenta con una distribución que incluye sala comedor, cocina integral, dos baños, zona de estudio, área de lavandería, y tres habitaciones. Además, se incluye un espacio de estacionamiento para tu comodidad.Lo destacado de esta oferta es que el apartamento se entrega completamente amoblado, lo que significa que tendrás acceso a una sala comedor, nevecón, lavadora-secadora, dos televisores, cuatro camas con colchones y tendidos, accesorios de cocina y hasta una chimenea para esos días acogedores.Esta es una oportunidad ideal para quienes buscan un lugar cómodo y completo para vivir. ¡No dudes en contactarnos para más detalles y programar una visita!",,2 baños,,$ 2.200.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja UNICENTRO,"Boyacá, Tunja, Tunja"
,Aparcadero,"Descubre este hermoso apartamento en el piso 19, disponible para arriendo. Con una distribución acogedora, esta propiedad te ofrece una sala comedor con balcón, una cocina integral y una zona de ropas. Además, cuenta con un estudio, tres alcobas y dos baños, uno de ellos equipado con vestier. Ubicado en el edificio In Altezza, este apartamento te brinda acceso a una variedad de beneficios y comodidades. Disfruta de las zonas infantiles, canchas deportivas y mucho más, todo dentro del conjunto. No pierdas la oportunidad de vivir en este increíble apartamento que te ofrece un ambiente confortable y espacios diseñados para tu comodidad. Contáctanos para obtener más información sobre esta propiedad en el edificio In Altezza. ¡No esperes más para encontrar tu nuevo hogar!",,2 baños,,$ 1.400.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja IN ALTEZZA,"Boyacá, Tunja, Tunja"
,,"Atos Inmobiliaria Ofrece Consultorio en Edificio Colón, Frente al Hospital San RafaelTe presentamos esta excelente oportunidad de arriendo o venta de un consultorio ubicado en el Edificio Colón, en Las Nieves, justo frente al Hospital Universitario San Rafael. Este consultorio es ideal para profesionales de la salud que desean una ubicación estratégica en el corazón médico de la ciudad.Características Destacadas:Ubicación Estratégica: Al estar frente al Hospital San Rafael, tendrás un fácil acceso a un importante centro médico en la ciudad.Espacio Funcional: Este consultorio está diseñado para brindar comodidad y funcionalidad en tu práctica médica.Baño Privado: Ofrece la conveniencia de un baño privado dentro del consultorio.Ya sea que estés buscando alquilar o comprar, este consultorio puede ser la base perfecta para tu práctica médica. ¡Contáctanos hoy para obtener más información y programar una visita!",,,1 baño,$ 1.000.000,Local comercial,Arriendo,CONSULTORIO en ARRIENDO/VENTA en Tunja LAS NIEVES,"Boyacá, Tunja, Tunja"
,Aparcadero,"Atos Inmobiliaria te ofrece la oportunidad de arrendar un apartamento nuevo, ideal para estrenar, en una ubicación privilegiada en el centro de la ciudad. Este apartamento se encuentra a pocos pasos de la sede de la Universidad Juan de Castellanos, lo que lo convierte en una excelente opción para estudiantes y profesionales.El apartamento consta de una amplia sala comedor, una cocina integral moderna, zona de ropas para tu conveniencia, un estudio que puede ser utilizado como espacio de trabajo o de estudio, tres habitaciones cómodas, dos baños completos y, además, incluye un garaje y un depósito para satisfacer tus necesidades de almacenamiento.Con un área total de 65.8 metros cuadrados, este apartamento ofrece comodidad y funcionalidad en un entorno céntrico. Está ubicado en el edificio Torre de las Américas, lo que te brinda acceso a una variedad de servicios y comodidades cercanas.",,2 baños,,$ 1.240.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja LAS AMERICAS,"Boyacá, Tunja, Tunja"
,,"Atos Inmobiliaria - Arriendo de Apartamento en el Barrio Nogal, Zona NorteTe ofrecemos la oportunidad de arrendar un espacioso apartamento en el codiciado barrio Nogal, ubicado en la zona norte de la ciudad. Este apartamento, situado en el cuarto piso, es una excelente opción para aquellos que buscan un lugar cómodo y funcional para vivir.Características Destacadas:Amplias Áreas Sociales: La sala y el comedor ofrecen espacio más que suficiente para relajarse y disfrutar de tus momentos en casa.Cocina Semintegrada: La cocina es un lugar ideal para preparar tus comidas, con una distribución práctica.Tres Habitaciones y Dos Baños: Con tres habitaciones, tendrás espacio adicional para oficina en casa o habitaciones para invitados.La ubicación en el barrio Nogal te brinda acceso a una amplia gama de servicios y comodidades cercanas, lo que hace que este apartamento sea una opción atractiva. ¡Contáctanos para obtener más detalles o programar una visita hoy mismo!",,2 baños,,$ 1.000.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja NOGAL,"Boyacá, Tunja, Tunja"
,Gas natural,"Se arrienda apartamento cerca de la sede de la Juan de Castellanos. Es para estrenar, cuenta con un área de 51m2 y se entrega con cortinas. Dispone de sala comedor, cocina integral con horno a gas y calentador. Además, cuenta con 1 baño y 2 habitaciones. No pierdas esta oportunidad, contáctanos para más información y agendar una visita. ¡Te esperamos!",,,,$ 850.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja LAS AMERICAS,"Boyacá, Tunja, Tunja"
,Aparcadero,"Atos Inmobiliaria tiene en arriendo una casa en el barrio Altos de Cooservicios. Esta vivienda ofrece un amplio espacio, con sala y comedor, cocina integral, zona de ropas y un baño social en el primer piso. Además, cuenta con parqueadero. En el segundo piso, encontrarás tres habitaciones y un baño. Esta casa proporciona un lugar cómodo y funcional para tu familia en una ubicación conveniente. ¡No dudes en ponerte en contacto para obtener más detalles y coordinar una visita!",,2 baños,,$ 1.150.000,Casa,Arriendo,CASA en ARRIENDO en Tunja ALTOS DE COOSERVICIOS,"Boyacá, Tunja, Tunja"
,Aparcadero,"Atos Inmobiliaria ofrece en arriendo una hermosa casa en el Conjunto Terra Viva, ubicada en el sector norte y cercana al Centro Comercial Viva. Esta espaciosa casa consta de 3 habitaciones, un estudio, 3 baños, sala y comedor, cocina integral, patio de ropas y un garaje doble. La propiedad tiene una superficie total de 154 m² y es relativamente nueva, con solo un año de antigüedad. Si buscas una vivienda en una ubicación conveniente y con amplios espacios, esta casa es una excelente opción.",,3 baños,,$ 2.917.800,Casa,Arriendo,CASA en ARRIENDO en Tunja TERRA VIVA,"Boyacá, Tunja, Tunja"
,,"Local en Arriendo en Edificio Milán, Cerca de Unicentro y VivaAtos Inmobiliaria te presenta una excelente oportunidad de arriendo en el Edificio Milán, una ubicación estratégica cerca del Centro Comercial Unicentro y Viva. Este local comercial tiene un área de 25.5 m² y cuenta con una vista a la calle, lo que lo hace ideal para diversos tipos de negocios.El local incluye un baño privado, lo que agrega comodidad para tus clientes y empleados. Además, la cercanía a dos importantes centros comerciales garantiza un flujo constante de personas y un gran potencial para tu negocio.Si estás buscando un espacio comercial bien ubicado en la ciudad, este local en el Edificio Milán podría ser la opción que necesitas. ¡Contáctanos para obtener más información y programar una visita!",,,1 baño,$ 1.200.000,Local comercial,Arriendo,LOCAL en ARRIENDO en Tunja UNICENTRO,"Boyacá, Tunja, Tunja"
55 m²,"Cocina integral,Permite animales domésticos,Gas natural","Apto ubicado en piso 2, distribuido así, 3 habitaciones, 2 baños sala comedor, cocina, zona de ropas",4,2 baños,,$ 900.000,Apartamento,Arriendo,ARRIENDO APTO EN SECTOR SAN FRANCISCO TUNJA,"Carrera 5 #5b Sur, Tunja, Boyacá, Colombia"
,Aparcadero,"Descubre una oportunidad única de arriendo con Atos Inmobiliaria. Este acogedor apartamento en el Barrio Fuente Higueras, situado en el primer piso, te ofrece comodidad y practicidad en un solo lugar.Con dos habitaciones, es perfecto para adaptarse a tus necesidades. Disfruta de un baño completo, una sala comedor que ofrece versatilidad y una cocina semi integral que simplificará tus tareas culinarias. Además, cuentas con una zona de ropas funcional que agrega conveniencia a tu rutina diaria.El apartamento también incluye un parqueadero, eliminando cualquier preocupación de estacionamiento.Si buscas un espacio acogedor y funcional para vivir, este apartamento en el Barrio Fuente Higueras es la elección ideal. Contáctanos hoy mismo para obtener más detalles y concertar una visita. Tu nuevo hogar te espera.",,,,$ 700.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja FENIX FUENTE HIGUERAS,"Boyacá, Tunja, Tunja"
,Aparcadero,"Apartamento en Arriendo en El Refugio, Norte de la CiudadAtos Inmobiliaria tiene disponible un amplio apartamento en arriendo en el sector de El Refugio, al norte de la ciudad. Este apartamento, ubicado en el cuarto piso, ofrece comodidad y una excelente distribución de espacios.En su interior, encontrarás una luminosa sala comedor, una práctica cocina integral, zona de lavandería, tres habitaciones y dos baños completos. Además, se incluye un garaje para tu vehículo.La ubicación en el norte de la ciudad brinda acceso a diversas comodidades y servicios cercanos. Este apartamento es una excelente opción para quienes buscan una vivienda cómoda y bien ubicada. ¡Contáctanos para programar una visita y obtener más detalles!",,2 baños,,$ 900.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja EL NOGAL,"Boyacá, Tunja, Tunja"
86 m²,"Cocina integral,Cuarto de servicio,Gas natural,Vista panorámica,Tanque de agua,Agua","ARRIENDO APARTAMENTO EN EL EDIFICIO CANAPRO AL NORTE  DE LA CIUDAD DE TUNJA, CERCA A LA UPTC, CLÍNICA  GARPER, EPS, POZO DE DONATO, AVENIDA NORTE, PUENTE DE SANTA INÉS.

Apartamento en quinto piso, sin ascensor.
Consta de: Sala, comedor, cocina integral, zona de ropas, cuarto y baño de servicio, tres habitaciones con closet, baño social, baño privado, baños con ducha eléctrica, pisos en cerámica, cortinas, el apartamento goza de excelente luz natural y ventilación 

Servicios de agua, luz, gas natural estrato 4.

Valor Canon de arrendamiento: 950.000 incluye valor de administracion

CONTACTO: ",4,2 baños,,$ 950.000,Apartamento,Arriendo,ARRIENDO APARTAMENTO EDIFICIO CANAPRO TUNJA,"Calle 43a #7a-42, Tunja, Boyacá, Colombia"
,,"SE ARRIENDA CONFORTABLE APARATAESTUDIO TIPO LOF PISO OCTAVO CON COCINA INTEGRAL, RED DE GAS, ESTUFA 2 PUESTOS, CON PUERTA VAIVÉN, ZONA DE ROPA CON LAVADERO Y TENDEDERO. CLOSET AMPLIO, 1 BAÑO CON DIVISIÓN EN VIDRIO TEMPLADO,ZONAS SOCIALES DOS ASCENSORES, ESCALERAS DE EMERGENCIA, PARQUEADEROS VISITANTES, ZONA DE PARQUE INFANTIL, GIMNASIO BIOSALUDABLE, SALÓN COMUNAL AMPLIO, SEGURIDAD 24/7, CIRCUITOS DE CÁMARAS DE SEGURIDAD, SERVICIO DE CITOFONO",,,,,,,,
,,,,,,,,,,
,,"Excelente vitrina comercial, sobre la avenida norte de Tunja al norte cerca del Centro Comercial Centro Norte. Son 4 pisos de área libre: Primer piso 225 m2, Pisos 2,3 y 4 cada uno 240 m2 con batería de baños cada piso. El edificio tiene doble fachada y en el primer piso doble acceso. Arrendamos cada piso o todo el edifico. PRIMER PISO $13.000.000 mas impuestos. OTROS PISOS $ entre 5 y 6 millones",,,,,,,,
,"Aparcadero,Gas natural","Descubre este hermoso apartamento en el piso 6, disponible para arriendo. Con una distribución acogedora, esta propiedad te ofrece una sala comedor con balcón, una cocina integral y una zona de ropas. Además, cuenta con un estudio, tres alcobas y dos baños, uno de ellos equipado con vestier.Ubicado en el edificio In Altezza, este apartamento te brinda acceso a una variedad de beneficios y comodidades. Disfruta de las zonas infantiles, canchas deportivas y mucho más, todo dentro del conjunto.No pierdas la oportunidad de vivir en este increíble apartamento. Que te ofrece un ambiente confortable y espacios diseñados para tu comodidad.Contáctanos para obtener más información sobre esta propiedad en el edificio In Altezza. ¡No esperes más para encontrar tu nuevo hogar!",,2 baños,,$ 1.200.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja IN ALTEZZA,"Boyacá, Tunja, Tunja"
